job_title,years_experience,education,location,skills,salary_chf
Business Analyst,2,Bachelor,Other CH,python;spark;java;machine learning;sql,114908.0
Data Engineer,3,Master,Bern,sql;power bi,112177.0
ML Engineer,4,Master,Bern,spark;nlp;cloud,136972.0
IT Consultant,1,Bachelor,Zurich,cloud;python;java;docker;nlp,119700.0
IT Consultant,2,PhD,Bern,sql;docker;cloud;machine learning;power bi,110684.0
Software Developer,10,Bachelor,Bern,power bi;docker,140944.0
IT Consultant,11,Apprenticeship,Basel,java;machine learning;project management;spark;nlp;power bi,140520.0
Data Engineer,5,Master,Other CH,spark;python;docker;sql;nlp;power bi,132911.0
IT Consultant,10,Bachelor,Other CH,sql;cloud;project management;docker,138616.0
IT Consultant,2,Master,Geneva,cloud;spark;docker,116827.0
Business Analyst,9,Bachelor,Other CH,project management;cloud;nlp;java,120199.0
Software Developer,7,Master,Geneva,spark;cloud;nlp;sql,166120.0
Software Developer,7,Master,Geneva,python;java;docker;spark,145878.0
Data Scientist,2,Bachelor,Bern,python;machine learning,129449.0
Data Scientist,6,Master,Other CH,sql;docker,124424.0
ML Engineer,3,Bachelor,Basel,sql;power bi;cloud;java,137343.0
Business Analyst,17,Master,Zurich,spark;machine learning;docker;python;sql;java,177989.0
ML Engineer,25,Master,Basel,sql;java,217808.0
Business Analyst,14,Bachelor,Bern,project management;machine learning,151286.0
Data Engineer,2,Bachelor,Zurich,machine learning;python,129625.0
Business Analyst,1,Master,Remote CH,power bi;python,103464.0
IT Consultant,3,Master,Zurich,project management;sql;docker;python;machine learning,125732.0
ML Engineer,8,PhD,Zurich,cloud;python;nlp;power bi,155020.0
Business Analyst,9,Bachelor,Zurich,power bi;cloud,145399.0
ML Engineer,12,Master,Geneva,docker;spark;nlp;python;project management;sql,165920.0
Data Scientist,4,Apprenticeship,Zurich,power bi;project management;sql,121520.0
ML Engineer,9,Master,Other CH,power bi;docker;nlp,146793.0
Business Analyst,7,Apprenticeship,Other CH,java;docker;power bi;machine learning;project management,109226.0
Software Developer,12,Bachelor,Geneva,cloud;power bi;sql;spark;nlp;java,168820.0
Data Scientist,8,Bachelor,Zurich,project management;machine learning;sql;power bi;cloud;nlp,153214.0
Data Scientist,25,Apprenticeship,Bern,docker;java;sql;nlp;power bi,200559.0
ML Engineer,19,Master,Remote CH,project management;python;machine learning;cloud;nlp;sql,188220.0
Business Analyst,4,PhD,Other CH,docker;java;machine learning;python;power bi;nlp,134401.0
ML Engineer,1,PhD,Other CH,project management;python,126134.0
IT Consultant,4,Bachelor,Basel,nlp;sql;spark,117604.0
Data Scientist,7,Master,Bern,sql;python;java,132670.0
Data Scientist,7,Bachelor,Other CH,project management;power bi;python;docker,131690.0
Data Engineer,2,Bachelor,Bern,sql;cloud;nlp;java;machine learning,113877.0
IT Consultant,16,Bachelor,Zurich,docker;machine learning,172889.0
Data Scientist,4,Master,Bern,spark;sql,123631.0
ML Engineer,9,PhD,Zurich,power bi;spark,117240.0
Software Developer,4,PhD,Basel,cloud;nlp;machine learning;sql;power bi;docker,138730.0
Business Analyst,4,Master,Geneva,docker;spark;nlp;project management,131221.0
